,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Redlands,5,US,1554927483,11,34.06,-117.19,77.0,11.41
378,Padang,56,ID,1554927637,100,-0.92,100.36,79.77,1.95
379,Kununurra,0,AU,1554924600,94,-15.77,128.74,75.2,6.87
380,Mount Pleasant,1,US,1554927596,37,33.16,-94.97,88.0,20.8
381,Bhadrachalam,12,IN,1554927639,75,17.67,80.89,76.53,4.97
382,Hastings,12,NZ,1554927639,89,-39.64,176.84,62.4,13.02
383,Farafangana,44,MG,1554927639,98,-22.82,47.83,80.04,6.98
384,Chernyshevskiy,88,RU,1554927640,81,63.01,112.47,24.78,11.68
385,Yeppoon,90,AU,1554924600,73,-23.13,150.74,73.4,6.93
386,Moosomin,48,CA,1554927640,77,50.14,-101.67,33.78,10.78
387,Kalininsk,0,RU,1554927640,56,51.5,44.48,54.48,10.0
388,Ossora,56,RU,1554927640,89,59.24,163.07,16.77,4.07
389,Joaima,56,BR,1554927600,93,-16.65,-41.03,73.65,5.19
390,Vardo,1,US,1554927616,35,39.62,-77.74,69.01,14.99
391,Saint-Pierre,0,FR,1554927425,93,48.95,4.24,52.0,11.41
392,West Odessa,20,US,1554927429,4,31.84,-102.48,96.8,32.21
393,Balabac,88,PH,1554927642,100,7.99,117.06,83.28,10.11
394,Chaihe,24,CN,1554927642,72,44.77,129.68,20.73,2.51
395,Karratha,48,AU,1554927642,61,-20.74,116.85,80.94,2.73
396,Vila do Maio,20,CV,1554922800,69,15.13,-23.22,75.2,20.8
397,Son La,0,VN,1554927541,82,21.32,103.9,62.4,0.72
398,Alugan,76,PH,1554927526,97,12.22,125.48,79.14,8.77
399,Songea,80,TZ,1554927643,96,-10.68,35.65,68.34,2.28
400,Uddevalla,88,SE,1554927608,74,58.35,11.94,30.2,3.62
401,Longyearbyen,75,NO,1554925800,92,78.22,15.63,28.4,3.36
402,Dudinka,68,RU,1554927643,82,69.41,86.18,9.75,9.89
403,North Bend,90,US,1554927628,71,43.41,-124.22,54.0,10.29
404,Port Hardy,90,CA,1554922800,76,50.7,-127.42,48.2,6.93
405,Wanning,75,AT,1554927643,93,48.64,13.53,51.01,3.36
406,Nome,1,US,1554927610,37,30.04,-94.42,88.0,14.99
407,Napasar,44,IN,1554927644,58,27.97,73.56,72.39,4.07
408,Mount Isa,0,AU,1554924600,53,-20.73,139.49,71.6,9.17
409,Kipushi,88,CD,1554927645,98,-11.76,27.24,64.92,5.41
410,Auki,24,NG,1554927645,38,12.18,6.51,88.86,9.22
411,Miles City,20,US,1554927493,64,46.41,-105.84,37.99,14.99
412,Taoudenni,0,ML,1554927645,19,22.68,-3.98,68.16,8.43
413,Amboasary,0,MG,1554926400,88,-25.04,46.38,80.6,11.41
414,Bochnia,90,PL,1554927548,83,49.97,20.43,46.4,10.29
415,Houlton,90,US,1554927495,69,46.13,-67.84,36.0,9.17
416,Yumen,48,CN,1554927646,64,40.29,97.04,26.04,3.29
417,Kieta,88,PG,1554927646,100,-6.22,155.63,79.05,4.41
418,Chahal,12,GT,1554927647,78,15.75,-89.57,81.3,0.72
419,Vanderhoof,36,CA,1554927647,48,54.02,-124.02,43.95,5.75
420,Vila Velha,20,BR,1554926400,70,-3.71,-38.6,84.2,12.75
421,Manzanillo,8,CU,1554927479,96,20.34,-77.12,82.65,12.24
422,Sedalia,1,US,1554928500,36,38.7,-93.23,86.0,20.8
423,Kungurtug,64,RU,1554927648,81,50.6,97.53,25.05,5.64
424,Raichur,0,IN,1554927648,86,16.2,77.36,69.6,5.19
425,Katsuura,40,JP,1554927065,71,33.93,134.5,51.8,14.99
426,Huruta,56,ET,1554927648,73,8.15,39.35,61.95,3.18
427,Mantua,75,IT,1554927431,66,45.16,10.79,59.0,2.24
428,Ayagoz,0,KZ,1554927649,53,47.96,80.43,40.26,7.99
429,Aden,0,YE,1554927649,96,12.79,45.03,81.3,17.05
430,Hirara,76,JP,1554927649,100,24.8,125.28,71.22,10.33
431,Warren,40,US,1554927403,52,42.48,-83.03,46.4,9.17
432,Ravar,0,IR,1554927423,76,31.27,56.81,48.72,1.05
433,Oga,56,NG,1554927650,74,8.18,5.65,80.85,3.29
434,Ayan,92,TR,1554927650,93,40.67,33.6,40.53,2.95
435,Vestmannaeyjar,24,IS,1554927650,84,63.44,-20.27,42.51,20.85
436,Djougou,68,BJ,1554927651,52,9.71,1.67,85.8,5.19
437,Saint-Louis,90,CH,1554927617,93,47.59,7.56,50.0,10.29
438,Ishinomaki,92,JP,1554927651,100,38.42,141.3,37.65,24.32
439,Aguadilla,88,PR,1554927644,78,18.43,-67.15,82.99,1.99
440,Naryan-Mar,48,RU,1554927652,79,67.67,53.09,10.83,2.17
441,Bonavista,64,CA,1554927469,78,48.65,-53.11,37.0,8.01
442,Namatanai,48,PG,1554927652,100,-3.66,152.44,82.02,2.39
443,Barao de Melgaco,75,BR,1554925320,70,-16.19,-55.97,87.8,9.17
444,Atambua,64,ID,1554927652,100,-9.11,124.89,78.69,4.74
445,Fengrun,88,CN,1554927653,70,39.83,118.12,43.86,2.73
446,Ciudad Bolivar,24,VE,1554927653,25,8.12,-63.55,97.68,11.01
447,Parkersburg,90,US,1554927642,25,39.27,-81.55,72.0,5.82
448,Scicli,40,IT,1554927619,87,36.79,14.7,55.4,2.24
449,Te Anau,44,NZ,1554927654,98,-45.41,167.72,42.96,2.73
450,Batagay-Alyta,44,RU,1554927654,65,67.8,130.41,6.15,2.62
451,Hvide Sande,48,DK,1554927589,74,56.01,8.13,37.0,6.93
452,Neiafu,40,TO,1554926400,88,-18.65,-173.98,80.6,6.93
453,Ust-Ilimsk,32,RU,1554927655,61,57.96,102.73,25.14,9.66
454,Gulbene,0,LV,1554927655,74,57.18,26.75,31.89,7.65
455,Kushiro,20,JP,1554927655,82,43.11,144.15,24.06,2.62
456,Tsaratanana,0,MG,1554927656,66,-16.8,47.65,72.75,4.97
457,Baruun-Urt,0,MN,1554927656,50,46.68,113.28,18.48,6.76
458,Gornopravdinsk,68,RU,1554927656,92,60.06,69.92,32.25,2.95
459,Makakilo City,75,US,1554927592,88,21.35,-158.09,82.4,9.17
460,Shelburne,1,CA,1554927636,60,44.08,-80.2,48.0,14.99
461,Pascagoula,1,US,1554927629,37,30.37,-88.56,89.01,8.05
462,Santa Rosa,12,AR,1554927660,31,-36.62,-64.29,77.61,18.16
463,Manacapuru,40,BR,1554926400,58,-3.3,-60.62,87.8,5.82
464,Portland,90,US,1554927421,71,45.52,-122.67,53.01,12.75
465,Sungaipenuh,12,ID,1554927624,95,-2.08,101.38,66.27,1.39
466,Penzance,75,GB,1554927035,81,50.12,-5.53,52.0,4.7
467,Valverde del Camino,0,ES,1554927433,57,37.57,-6.75,61.0,7.0
468,Newport,0,GB,1554927355,65,51.59,-3.0,46.99,9.17
469,Port Lincoln,0,AU,1554927663,100,-34.72,135.86,55.38,9.89
470,Hofn,75,IS,1554922800,75,64.25,-15.21,42.8,10.29
471,Saquarema,75,BR,1554922800,74,-22.93,-42.51,82.4,3.36
472,Safford,1,US,1554927515,9,32.83,-109.71,69.8,29.97
473,Sakaiminato,75,JP,1554927497,53,35.55,133.23,50.0,11.41
474,Mandurah,90,AU,1554927548,93,-32.55,115.7,64.0,5.86
475,Lahij,0,YE,1554927664,90,13.06,44.88,68.97,1.28
476,Dengzhou,24,CN,1554927664,88,32.69,112.08,38.82,2.84
477,Lucapa,56,AO,1554927664,96,-8.42,20.74,67.53,1.95
478,Akhmeta,0,GE,1554924600,76,42.03,45.21,55.4,1.12
479,Ahuimanu,75,US,1554927592,88,21.44,-157.84,82.4,9.17
480,Yermekeyevo,0,RU,1554927665,79,54.07,53.67,34.77,10.0
481,Dunmore Town,92,BS,1554927665,100,25.5,-76.65,70.77,15.7
482,Stuttgart,75,DE,1554927656,61,48.78,9.18,52.0,6.93
483,Kysyl-Syr,88,RU,1554927666,90,63.9,122.77,29.64,6.31
484,Magadi,0,IN,1554924600,47,12.96,77.22,78.8,1.12
485,Mogwase,80,ZA,1554927667,97,-25.28,27.22,58.35,1.95
486,Lodja,64,CD,1554927667,95,-3.52,23.6,73.92,2.51
487,Haliyal,0,IN,1554927667,89,15.33,74.76,65.73,3.4
488,Bitung,20,ID,1554924600,94,1.44,125.19,75.2,4.74
489,Carutapera,80,BR,1554927668,89,-1.2,-46.02,80.13,4.41
490,Mount Gambier,90,AU,1554922800,66,-37.83,140.78,51.8,1.12
491,Harper,1,US,1554927622,26,30.3,-99.24,93.0,20.8
492,Matara,0,PE,1554922800,44,-13.74,-72.9,59.0,2.39
493,Priladozhskiy,90,RU,1554927636,86,59.85,31.48,33.8,8.95
494,Tessalit,0,ML,1554927669,19,20.2,1.01,64.47,6.98
495,Berlevag,75,NO,1554925800,100,70.86,29.09,35.6,18.34
496,Roald,0,NO,1554927603,59,62.58,6.12,37.4,9.17
497,Taga,75,JP,1554927642,66,35.21,136.34,50.0,32.21
498,Hami,92,CN,1554927670,48,42.84,93.51,43.77,3.18
499,Kerema,76,PG,1554927670,96,-7.96,145.78,74.19,2.17
500,Chipinge,76,ZW,1554927670,71,-20.19,32.62,73.83,7.87
501,Goma,44,CD,1554927671,100,-1.67,29.23,58.53,3.18
502,Soyo,20,AO,1554926400,88,-6.13,12.37,82.4,5.82
503,Westport,12,IE,1554927491,78,53.8,-9.52,50.0,2.73
504,Bocas del Toro,56,PA,1554926999,92,9.33,-82.25,59.0,2.73
505,Kirovsk,0,RU,1554927671,84,67.62,33.66,16.41,2.95
506,Cabo San Lucas,5,MX,1554927399,27,22.89,-109.91,99.0,4.7
507,Bosaso,0,SO,1554927672,100,11.28,49.18,80.4,3.74
508,Boksitogorsk,0,RU,1554927363,89,59.47,33.85,30.99,4.41
509,Xuanhua,80,CN,1554927672,73,40.61,115.04,31.44,2.17
510,Presidente Epitacio,0,BR,1554927524,52,-21.76,-52.12,83.55,3.62
511,Pangnirtung,20,CA,1554922800,92,66.15,-65.72,5.0,4.7
512,Takestan,0,IR,1554926400,71,36.07,49.69,50.0,2.24
513,Capao da Canoa,0,BR,1554927443,98,-29.75,-50.01,74.1,18.5
514,Tateyama,92,JP,1554927596,94,36.66,137.31,48.0,10.0
515,Belinskiy,92,RU,1554927674,87,52.97,43.41,46.47,10.11
516,Semirom,24,IR,1554927674,82,31.41,51.57,29.28,2.17
517,Vila,75,IT,1554927667,76,45.18,8.4,57.0,6.93
518,Igrim,20,RU,1554927674,76,63.19,64.42,16.77,2.95
519,Corpus Christi,1,US,1554927426,52,27.8,-97.4,96.8,19.46
520,Almeirim,20,PT,1554927638,81,39.21,-8.63,57.2,10.29
521,Norcasia,48,CO,1554927675,84,5.58,-74.89,73.38,2.62
522,Panguna,56,PG,1554927675,86,-6.32,155.48,78.69,6.64
523,Marzuq,0,YE,1554927675,84,14.4,46.47,57.18,2.51
524,Pontianak,56,ID,1554927676,100,-0.02,109.34,78.78,2.28
525,Wakkanai,0,JP,1554927676,100,45.41,141.67,37.2,7.99
526,Velikiy Ustyug,92,RU,1554927676,87,60.76,46.3,41.07,9.78
527,Kruisfontein,0,ZA,1554927676,77,-34.0,24.73,65.19,9.66
528,Tazovskiy,24,RU,1554927677,69,67.47,78.7,1.83,9.55
529,Okato,92,NZ,1554927258,78,-39.19,173.88,64.99,10.0
530,Sibay,0,RU,1554927677,73,52.72,58.67,32.34,2.73
531,Janossomorja,0,HU,1554927671,71,47.79,17.14,51.8,5.82
532,Port Macquarie,40,AU,1554927605,82,-31.43,152.91,57.99,1.12
533,Nago,75,IT,1554927673,66,45.88,10.89,57.99,2.24
534,Balasheyka,24,RU,1554927678,82,53.28,48.09,41.97,4.41
535,Palmer,1,US,1554927670,37,61.6,-149.11,51.01,12.75
536,Marrakesh,0,MA,1554927508,38,31.63,-7.99,58.62,10.67
537,Kollam,20,IN,1554924600,74,8.88,76.6,86.0,3.36
538,Arkhangelskoye,92,RU,1554927679,92,54.46,37.62,44.85,7.09
539,Usinsk,0,RU,1554927679,70,66.0,57.56,7.05,9.1
540,Sibolga,80,ID,1554927679,100,1.74,98.78,70.68,0.94
541,Brownwood,1,US,1554927384,15,31.71,-98.99,98.01,20.8
542,Lewisburg,40,US,1554927616,29,40.96,-76.88,62.01,9.17
543,Lodwar,48,KE,1554927680,73,3.12,35.6,75.63,2.73
544,Inta,0,RU,1554927680,66,66.04,60.13,10.65,5.41
545,Nueve de Julio,0,AR,1554927495,31,-31.67,-68.39,74.37,3.85
546,Ilo,0,PE,1554922800,69,-17.65,-71.34,73.4,6.93
547,Fort Nelson,75,CA,1554922800,32,58.81,-122.69,51.8,8.05
548,West Helena,1,US,1554927381,39,34.55,-90.64,84.2,13.87
549,Provost,64,CA,1554927681,45,52.35,-110.26,54.3,9.78
550,San Patricio,0,PY,1554927682,70,-26.98,-56.83,80.13,2.17
551,Takoradi,100,GH,1554927682,94,4.89,-1.75,82.83,10.11
552,Hailar,0,CN,1554927682,61,49.2,119.7,18.3,4.63
553,Hamilton,90,BM,1554927330,83,32.3,-64.78,73.4,21.92
554,Asmar,36,AF,1554927682,84,35.03,71.36,48.27,2.17
555,Liverpool,0,GB,1554927488,65,53.41,-2.98,48.0,6.93
556,Arua,68,UG,1554927683,80,3.02,30.91,70.32,3.4
557,Lam Luk Ka,20,TH,1554927632,83,13.93,100.75,86.0,4.7
558,Torbat-e Jam,0,IR,1554927683,86,35.24,60.63,45.12,2.73
559,Garachine,36,PA,1554927684,94,8.06,-78.36,79.59,5.53
560,Alihe,0,CN,1554927684,66,50.57,123.73,14.88,2.39
561,Mayya,40,RU,1554924600,73,61.74,130.28,24.8,4.47
562,Kondinskoye,80,RU,1554927684,89,59.65,67.41,32.43,2.51
563,Prince Rupert,40,CA,1554922800,75,54.32,-130.32,46.4,9.17
